#Z=0.000386 Y=0.230772 OS=0.20 l/Hp=1.743201 [Fe/H]=   -2.000 [Alpha/Fe]= 0.40
  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M    num(x=-1)  num(x=1.35)   num(x=3)
#age(Gyr)=12.000 140 points
 0.8346105  3.6586  2.7491  1.1967 -1.674  0.491  1.019  0.579  1.130  1.831  2.398  2.526  2.625  3.271  1.7953E-02  1.1964E-02  7.9287E-03
 0.8346194  3.6575  2.7682  1.1731 -1.714  0.508  1.030  0.583  1.137  1.842  2.412  2.540  2.640  3.288  1.6684E-02  1.1118E-02  7.3678E-03
 0.8346272  3.6563  2.7869  1.1499 -1.753  0.525  1.040  0.588  1.145  1.854  2.426  2.555  2.656  3.305  1.5075E-02  1.0046E-02  6.6572E-03
 0.8346345  3.6552  2.8052  1.1271 -1.792  0.541  1.050  0.592  1.153  1.866  2.441  2.570  2.672  3.321  1.4522E-02  9.6769E-03  6.4127E-03
 0.8346417  3.6541  2.8232  1.1046 -1.829  0.557  1.061  0.597  1.161  1.878  2.455  2.585  2.688  3.338  1.4260E-02  9.5018E-03  6.2966E-03
 0.8346487  3.6530  2.8410  1.0825 -1.865  0.573  1.071  0.602  1.170  1.890  2.469  2.601  2.704  3.355  1.4107E-02  9.4001E-03  6.2291E-03
 0.8346558  3.6519  2.8585  1.0607 -1.901  0.589  1.081  0.607  1.179  1.902  2.484  2.615  2.719  3.372  1.3854E-02  9.2313E-03  6.1172E-03
 0.8346626  3.6509  2.8757  1.0392 -1.936  0.604  1.091  0.612  1.187  1.914  2.498  2.630  2.734  3.388  1.2540E-02  8.3555E-03  5.5367E-03
 0.8346683  3.6498  2.8926  1.0181 -1.970  0.620  1.102  0.618  1.197  1.926  2.512  2.646  2.751  3.406  1.1422E-02  7.6103E-03  5.0428E-03
 0.8346740  3.6487  2.9092  0.9972 -2.003  0.636  1.112  0.624  1.206  1.938  2.526  2.661  2.767  3.423  1.1348E-02  7.5608E-03  5.0100E-03
 0.8346797  3.6477  2.9255  0.9767 -2.036  0.652  1.122  0.630  1.216  1.950  2.540  2.676  2.783  3.440  1.0906E-02  7.2666E-03  4.8150E-03
 0.8346849  3.6467  2.9416  0.9565 -2.067  0.668  1.132  0.636  1.226  1.962  2.555  2.691  2.799  3.458  1.0471E-02  6.9766E-03  4.6228E-03
 0.8346901  3.6456  2.9575  0.9365 -2.098  0.684  1.142  0.642  1.236  1.974  2.569  2.707  2.815  3.475  1.0290E-02  6.8554E-03  4.5425E-03
 0.8346952  3.6446  2.9731  0.9169 -2.128  0.699  1.153  0.648  1.246  1.986  2.583  2.722  2.831  3.492  9.9428E-03  6.6242E-03  4.3892E-03
 0.8347001  3.6436  2.9884  0.8975 -2.157  0.715  1.163  0.654  1.257  1.999  2.598  2.738  2.847  3.510  9.6576E-03  6.4342E-03  4.2633E-03
 0.8347049  3.6426  3.0035  0.8785 -2.185  0.731  1.173  0.661  1.268  2.011  2.612  2.754  2.864  3.527  9.5218E-03  6.3436E-03  4.2032E-03
 0.8347096  3.6417  3.0184  0.8597 -2.213  0.747  1.184  0.667  1.278  2.023  2.627  2.769  2.880  3.545  9.0172E-03  6.0073E-03  3.9804E-03
 0.8347139  3.6407  3.0330  0.8411 -2.240  0.762  1.194  0.673  1.289  2.036  2.641  2.785  2.896  3.562  8.1525E-03  5.4312E-03  3.5986E-03
 0.8347178  3.6397  3.0475  0.8228 -2.266  0.777  1.204  0.680  1.300  2.048  2.656  2.801  2.913  3.580  7.7285E-03  5.1487E-03  3.4114E-03
 0.8347216  3.6388  3.0617  0.8048 -2.292  0.793  1.214  0.686  1.311  2.060  2.670  2.816  2.929  3.597  7.6868E-03  5.1208E-03  3.3929E-03
 0.8347254  3.6378  3.0757  0.7870 -2.317  0.807  1.224  0.693  1.322  2.073  2.684  2.832  2.945  3.615  7.4026E-03  4.9314E-03  3.2674E-03
 0.8347290  3.6369  3.0896  0.7695 -2.342  0.823  1.233  0.699  1.332  2.085  2.699  2.847  2.961  3.633  7.1171E-03  4.7412E-03  3.1413E-03
 0.8347326  3.6360  3.1033  0.7522 -2.367  0.838  1.243  0.705  1.342  2.097  2.713  2.863  2.977  3.650  7.0223E-03  4.6780E-03  3.0994E-03
 0.8347360  3.6351  3.1168  0.7351 -2.391  0.852  1.252  0.711  1.352  2.109  2.727  2.878  2.992  3.667  7.1060E-03  4.7337E-03  3.1363E-03
 0.8347397  3.6342  3.1301  0.7182 -2.415  0.867  1.261  0.717  1.363  2.121  2.741  2.893  3.008  3.684  7.3868E-03  4.9207E-03  3.2602E-03
 0.8347434  3.6334  3.1433  0.7016 -2.438  0.881  1.271  0.722  1.373  2.134  2.756  2.909  3.024  3.701  7.4887E-03  4.9886E-03  3.3051E-03
 0.8347472  3.6325  3.1563  0.6852 -2.461  0.894  1.280  0.728  1.382  2.146  2.770  2.924  3.040  3.718  7.3911E-03  4.9235E-03  3.2620E-03
 0.8347508  3.6317  3.1691  0.6690 -2.483  0.908  1.289  0.733  1.392  2.157  2.784  2.939  3.055  3.734  7.6063E-03  5.0668E-03  3.3569E-03
 0.8347548  3.6308  3.1817  0.6530 -2.505  0.921  1.298  0.739  1.401  2.169  2.798  2.954  3.071  3.751  7.9832E-03  5.3178E-03  3.5232E-03
 0.8347588  3.6300  3.1942  0.6372 -2.527  0.935  1.307  0.744  1.410  2.182  2.812  2.969  3.087  3.768  8.0440E-03  5.3582E-03  3.5499E-03
 0.8347628  3.6292  3.2065  0.6216 -2.548  0.948  1.316  0.748  1.419  2.194  2.827  2.984  3.102  3.784  7.9406E-03  5.2893E-03  3.5043E-03
 0.8347668  3.6284  3.2187  0.6063 -2.570  0.961  1.324  0.753  1.428  2.206  2.840  2.998  3.117  3.800  8.8564E-03  5.8993E-03  3.9083E-03
 0.8347717  3.6276  3.2307  0.5911 -2.591  0.974  1.333  0.758  1.436  2.218  2.854  3.013  3.132  3.816  1.2083E-02  8.0486E-03  5.3322E-03
 0.8347788  3.6268  3.2427  0.5760 -2.611  0.986  1.341  0.762  1.445  2.230  2.868  3.027  3.147  3.832  1.4253E-02  9.4939E-03  6.2896E-03
 0.8347859  3.6261  3.2546  0.5612 -2.632  0.998  1.349  0.766  1.453  2.241  2.882  3.042  3.162  3.848  1.4075E-02  9.3748E-03  6.2107E-03
 0.8347929  3.6253  3.2663  0.5465 -2.652  1.010  1.357  0.771  1.461  2.253  2.896  3.056  3.176  3.864  1.3900E-02  9.2579E-03  6.1331E-03
 0.8347998  3.6246  3.2778  0.5320 -2.672  1.022  1.364  0.775  1.469  2.264  2.910  3.070  3.190  3.879  6.9064E-03  4.5999E-03  3.0473E-03
