# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Tue Jul  9 20:54:27 CEST 2019
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: DECAM (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
9.8116e-05 -2.19174 9.00000 1.7353554964 2.5552911758    1.734  2.132  3.7228  2.389    3 -0.560 0.646 -0.095 -0.577 -0.748 -0.822 -0.842
9.8116e-05 -2.19174 9.00000 1.7358330488 2.5553193092    1.735  2.165  3.7215  2.350    3 -0.644 0.575 -0.174 -0.661 -0.834 -0.909 -0.930
9.8116e-05 -2.19174 9.00000 1.7362900972 2.5553462505    1.735  2.197  3.7202  2.313    3 -0.723 0.507 -0.249 -0.740 -0.915 -0.992 -1.013
9.8116e-05 -2.19174 9.00000 1.7368341684 2.5553781986    1.736  2.235  3.7186  2.269    3 -0.817 0.429 -0.336 -0.833 -1.012 -1.090 -1.112
9.8116e-05 -2.19174 9.00000 1.7372659445 2.5554034710    1.736  2.265  3.7174  2.234    3 -0.892 0.367 -0.405 -0.908 -1.088 -1.167 -1.191
9.8116e-05 -2.19174 9.00000 1.7377015352 2.5554292202    1.737  2.296  3.7161  2.198    3 -0.970 0.302 -0.478 -0.985 -1.167 -1.249 -1.272
9.8116e-05 -2.19174 9.00000 1.7381894588 2.5554578304    1.737  2.330  3.7147  2.159    3 -1.055 0.232 -0.557 -1.069 -1.254 -1.337 -1.362
9.8116e-05 -2.19174 9.00000 1.7382646799 2.5554621220    1.737  2.335  3.7145  2.153    3 -1.067 0.222 -0.568 -1.082 -1.267 -1.350 -1.375
9.8116e-05 -2.19174 9.00000 1.7382851839 2.5554633141    1.737  2.317  3.7154  2.174    3 -1.023 0.257 -0.528 -1.038 -1.221 -1.303 -1.328
9.8116e-05 -2.19174 9.00000 1.7382882833 2.5554635525    1.737  2.303  3.7161  2.191    3 -0.987 0.286 -0.495 -1.002 -1.185 -1.266 -1.290
9.8116e-05 -2.19174 9.00000 1.7382897139 2.5554637909    1.737  2.291  3.7166  2.205    3 -0.958 0.309 -0.469 -0.974 -1.156 -1.236 -1.260
9.8116e-05 -2.19174 9.00000 1.7382915020 2.5554637909    1.737  2.278  3.7172  2.221    3 -0.924 0.336 -0.437 -0.940 -1.120 -1.200 -1.223
9.8116e-05 -2.19174 9.00000 1.7382935286 2.5554637909    1.737  2.264  3.7178  2.237    4 -0.889 0.365 -0.405 -0.905 -1.085 -1.164 -1.187
9.8116e-05 -2.19174 9.00000 1.7382959127 2.5554640293    1.737  2.250  3.7185  2.254    4 -0.854 0.393 -0.372 -0.870 -1.048 -1.127 -1.149
9.8116e-05 -2.19174 9.00000 1.7382988930 2.5554642677    1.737  2.234  3.7192  2.273    4 -0.815 0.424 -0.337 -0.832 -1.009 -1.087 -1.109
9.8116e-05 -2.19174 9.00000 1.7383024693 2.5554645061    1.737  2.216  3.7201  2.294    4 -0.771 0.460 -0.297 -0.788 -0.964 -1.040 -1.062
9.8116e-05 -2.19174 9.00000 1.7383069992 2.5554647446    1.737  2.197  3.7211  2.317    4 -0.723 0.499 -0.252 -0.740 -0.914 -0.989 -1.011
9.8116e-05 -2.19174 9.00000 1.7383135557 2.5554649830    1.737  2.175  3.7222  2.344    4 -0.667 0.545 -0.200 -0.685 -0.857 -0.931 -0.952
9.8116e-05 -2.19174 9.00000 1.7383259535 2.5554656982    1.737  2.142  3.7239  2.383    4 -0.585 0.612 -0.125 -0.603 -0.772 -0.844 -0.864
9.8116e-05 -2.19174 9.00000 1.7383518219 2.5554673672    1.737  2.085  3.7270  2.453    4 -0.442 0.726 0.006 -0.461 -0.625 -0.694 -0.712
9.8116e-05 -2.19174 9.00000 1.7384545803 2.5554733276    1.737  1.965  3.7349  2.604    4 -0.144 0.962 0.275 -0.164 -0.316 -0.375 -0.390
9.8116e-05 -2.19174 9.00000 1.7386029959 2.5554821491    1.738  1.931  3.7398  2.658    4 -0.057 1.010 0.343 -0.079 -0.222 -0.276 -0.289
9.8116e-05 -2.19174 9.00000 1.7388274670 2.5554952621    1.738  1.881  3.7427  2.720    4 0.067 1.115 0.457 0.045 -0.093 -0.144 -0.156
9.8116e-05 -2.19174 9.00000 1.7388920784 2.5554990768    1.738  1.870  3.7430  2.731    4 0.094 1.140 0.483 0.071 -0.066 -0.117 -0.129
