Seq   key   Reference   Name                        Simbad_Identifier                  Sci_key  C_key    Loc   type  RA             DEC            vel     vel_bibcode         U_mag   B_mag   V_mag   R_mag   I_mag   J_mag   H_mag   K_mag   Teff   logg   Z     vturb   Li    Be    C    N    O    F    Na   Mg   Al   Si   P    S    K    Ca    Sc    Ti    V     Cr    Mn    Fe    Co    Ni    Cu    Zn   Ga    Ge    As    Se    Rb   Sr    Y     Zr    Nb    Mo    Ru    Rh    Pd    Ag    Cd    Sn   Te    Ba    La    Ce    Pr    Nd    Sm    Eu    Gd    Tb    Dy    Ho    Er    Tm    Yb    Lu    Hf    W     Os    Ir    Pt    Au    Hg   Pb    Bi    Th    U     CaII   TiII   VII   CrII   MnII   FeII  
2707  1     JOH02a      HD165195                    V*_V2564_Oph                       *        *        *     RG    18_4_40.07138  3_46_44.7255   -0.25   2005A&A...430..165F 9.53    8.59    7.3     6.24    5.43    4.881   4.311   4.03    4375   0.3    -2.2  2.5     *     *     *    *    *    *    *    6.02 3.42 5.74 *    *    *    4.45  0.92  3.03  1.59  3.21  2.84  5.2   2.84  3.97  *     2.3  *     *     *     *     *    0.68  -0.38 0.46  *     *     *     *     *     *     *     *    *     -0.43 -1.25 -0.88 *     -0.74 -1.05 -1.32 *     *     -0.56 *     *     *     *     *     *     *     -0.27 *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2708  1     BUR00       HD232078                    V*_V339_Sge                        *        *        *     RG    19_38_12.0704  16_48_25.6385  -388.34 2008A&A...480...91S 12.88   10.73   8.7     *       *       4.999   4.69    4.37    4000   0.3    -1.5  2.6     *     *     *    *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     6     *     *     *     *    *     *     *     *     *    *     0.6   1.4   *     *     *     *     *     *     *     *    *     0.65  -0.2  *     *     0.65  *     -0.63 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2709  1     KEN14       v370Vir                     V*_V370_Vir                        *        CR       *     HB    12_6_4.13      -2_12_57.4     75      2014A&A...566A.118D *       15.5    15.14   15.5    *       14.263  13.901  13.91   6275   2.5    -2.11 3       *     *     7.8  *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.39  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2710  1     ROE14b      CS30312-062                 V*_V456_Ser                        R1       NO       *     HB    15_37_32.847   -1_43_53.23    52      1992AJ....103.1987B *       12.71   12.23   *       *       11.575  11.368  11.314  6600   2.45   -2.65 3       2     *     7.5  8.15 5.8  *    *    5.19 3.13 5    *    *    *    4.23  0.6   2.66  1.6   2.95  2.73  4.86  2.59  3.76  *     *    *     *     *     *     3.16 -0.25 *     0.31  1.11  1.71  *     *     *     *     *     *    *     -1.22 *     0.14  -0.28 -0.16 -0.17 -1.13 0.09  -0.32 -0.42 -0.73 -0.18 -0.73 -1.02 *     0.57  *     *     *     *     *     *    2.06  *     -0.3  *     *      2.68   1.6   3.23   2.6    4.85  
2711  1     KEN14       V*WYVir                     V*_WY_Vir                          *        CR       *     HB    13_35_16.14    -6_58_22.7     181     2000AJ....119.2866B *       13.72   13.46   13.5    *       12.657  12.378  12.312  6354   2.81   -2.65 3       *     *     7.25 *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     4.85  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2712  1     KEN14       V*ZZVir                     V*_ZZ_Vir                          *        CR       *     HB    13_23_38.62    -4_21_42       *       *                   *       13.7    14.27   13.5    *       13.068  12.775  12.675  6538   2.54   -2.36 3       *     *     7.9  *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.14  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2713  1     FUL00       G90-36                      Wolf_1059                          *        *        *     MS    8_0_28.75      29_0_28.3      267.13  2002AJ....124.1144L *       13.28   12.7    12      11.6    11.382  11.046  10.962  5325   4.3    -1.6  1.1     *     *     *    *    *    *    3.93 6.11 *    6.18 *    *    *    4.9   *     3.4   *     3.94  *     5.77  *     4.36  *     *    *     *     *     *     *    *     0.29  *     *     *     *     *     *     *     *     *    *     0.44  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2714  1     ROE14b      G15-10                      Wolf_1137                          *        *        *     MS    15_9_46.01902  -4_45_6.6086   89.75   2002AJ....124.1144L *       12.72   11.71   *       *       10.572  10.209  10.145  5050   4.05   -2.54 0.9     0.6   *     6.09 4.63 7.3  *    *    5.49 3.47 *    *    *    *    4.18  0.55  2.58  1.28  3.05  2.46  4.97  2.26  3.69  1.13  2.21 *     *     *     *     1.96 0.17  -0.62 0.17  0.98  -0.1  *     *     *     *     *     1.19 *     -0.76 -1.34 -0.5  -0.55 -0.91 -0.6  -1.69 -0.35 -0.95 -0.82 *     -0.74 -1.01 -1.33 *     0.15  *     *     0.62  *     *     *    0.88  *     -0.78 *     *      2.7    *     3.43   2.52   4.96  
2715  1     ROE14b      G188-30                     Wolf_1143                          *        *        *     MS    21_55_16.1475  32_38_41.2178  -185.68 2002AJ....124.1144L *       11.69   11.03   10.6    10.3    9.575   9.205   9.1     5090   4.3    -2.07 0.85    0.95  *     6.07 6.06 *    *    *    5.83 *    5.75 *    *    *    4.55  1     3.07  1.92  3.6   3.05  5.45  2.76  4.15  *     2.63 *     *     *     *     *    0.74  -0.12 0.85  *     0.31  *     *     *     *     *     *    *     0.12  -0.89 0.01  *     -0.36 -0.39 -1.37 0.04  -0.68 *     *     -0.2  -1.17 -0.91 *     0.03  *     *     *     *     *     *    0.55  *     *     *     *      3.15   1.92  4      *      5.43  
2716  2     AOK06b      G64-12                      Wolf_1492                          *        *        *     MS    13_40_2.498    0_2_18.8       442.51  2002AJ....124.1144L 11.601  11.832  11.451  11.184  10.892  10.509  10.268  10.208  6390   4.38   -3.2  1.6     2.3   *     5.68 6.15 6.34 *    2.1  4.8  2.75 *    *    *    *    *     *     2.2   *     2.26  1.49  4.25  2.19  3.04  *     *    *     *     *     *     *    -0.1  *     *     *     *     *     *     *     *     *     *    *     -1.32 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2717  2     AOK10       G64-12                      Wolf_1492                          *        *        *     MS    13_40_2.498    0_2_18.8       442.51  2002AJ....124.1144L 11.601  11.832  11.451  11.184  10.892  10.509  10.268  10.208  6270   4.4    -3.37 1.5     2.18  *     *    *    *    *    2.74 4.53 *    *    *    *    *    *     *     *     *     *     *     4.08  *     *     *     *    *     *     *     *     *    -0.37 *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2718  2     ARN05       G64-12                      Wolf_1492                          *        *        *     SG    13_40_2.498    0_2_18.8       442.51  2002AJ....124.1144L 11.601  11.832  11.451  11.184  10.892  10.509  10.268  10.208  6220   3.9    -3.35 1.7     *     *     *    *    *    *    *    4.5  *    *    *    *    *    3.49  *     *     *     *     *     4.15  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2719  2     BAR05       G64-12                      Wolf_1492                          *        *        *     MS    13_40_2.498    0_2_18.8       442.51  2002AJ....124.1144L 11.601  11.832  11.451  11.184  10.892  10.509  10.268  10.208  6141   4.25   -3.44 1.49    *     *     5.66 *    *    *    *    4.69 2.38 *    *    *    *    3.4   *     2.09  *     *     *     4.06  *     2.98  *     *    *     *     *     *     *    -0.42 *     *     *     *     *     *     *     *     *     *    *     -1.24 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2720  2     BER10a      G64-12                      Wolf_1492                          *        *        *     MS    13_40_2.498    0_2_18.8       442.51  2002AJ....124.1144L 11.601  11.832  11.451  11.184  10.892  10.509  10.268  10.208  6407   4.2    -3.12 2.3     *     *     *    *    *    *    *    *    *    *    *    *    *    *     *     *     *     2.29  *     4.38  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2721  2     BER10b      G64-12                      Wolf_1492                          *        *        *     MS    13_40_2.498    0_2_18.8       442.51  2002AJ....124.1144L 11.601  11.832  11.451  11.184  10.892  10.509  10.268  10.208  6407   4.2    -3.12 2.3     *     *     *    *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     4.38  1.99  *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2722  2     HAN12       G64-12                      Wolf_1492                          *        *        *     MS    13_40_2.498    0_2_18.8       442.51  2002AJ....124.1144L 11.601  11.832  11.451  11.184  10.892  10.509  10.268  10.208  6459   4.31   -3.1  1.5     *     *     *    *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     4.4   *     *     *     *    *     *     *     *     *    -0.28 -0.84 *     *     *     *     *     *     *     *     *    *     -1.27 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2723  2     HOS09       G64-12                      Wolf_1492                          *        *        *     MS    13_40_2.498    0_2_18.8       442.51  2002AJ....124.1144L 11.601  11.832  11.451  11.184  10.892  10.509  10.268  10.208  6333   4.49   -3.32 1.3     2.21  *     *    *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     4.1   *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2724  2     ISH10       G64-12                      Wolf_1492                          *        *        *     SG    13_40_2.498    0_2_18.8       442.51  2002AJ....124.1144L 11.601  11.832  11.451  11.184  10.892  10.509  10.268  10.208  6070   3.58   -3.52 1.46    *     *     *    *    *    *    *    4.78 *    *    *    *    *    3.31  *     2.06  *     2.01  *     3.94  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     -1.68 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      2.06   *     *      *      3.94  
2725  2     ISH12       G64-12                      Wolf_1492                          *        *        *     MS    13_40_2.498    0_2_18.8       442.51  2002AJ....124.1144L 11.601  11.832  11.451  11.184  10.892  10.509  10.268  10.208  6550   4.68   -3.21 1.9     *     *     *    *    *    *    *    4.69 *    *    *    *    *    3.71  *     2.45  *     *     *     4.29  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      2.45   *     *      *      4.28  
